tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,genres,averageRating,numVotes,sortedTitle,imdb_url
tt7209510,movie,Glossary of Broken Dreams,Glossary of Broken Dreams,0,2018,\N,Animation Comedy Drama,6.9,2636,Glossary of Broken Dreams (2018),https://www.imdb.com/title/tt7209510/
tt0299937,movie,Go,Go,0,2001,\N,Drama,7.5,2627,Go (2001),https://www.imdb.com/title/tt0299937/
tt0139239,movie,Go,Go,0,1999,\N,Comedy Crime,7.2,67563,Go (1999),https://www.imdb.com/title/tt0139239/
tt2436516,movie,Go Goa Gone,Go Goa Gone,0,2013,\N,Action Adventure Comedy,6.7,11707,Go Goa Gone (2013),https://www.imdb.com/title/tt2436516/
tt2300923,tvSeries,Go On,Go On,0,2012,2013,Comedy,7.5,19606,Go On (2012–2013),https://www.imdb.com/title/tt2300923/
tt0077617,movie,Go Tell the Spartans,Go Tell the Spartans,0,1978,\N,Drama War,6.7,2548,Go Tell the Spartans (1978),https://www.imdb.com/title/tt0077617/
tt0085601,movie,Go for It,Nati con la camicia,0,1983,\N,Action Adventure Comedy,7.2,9216,Go for It (1983),https://www.imdb.com/title/tt0085601/
tt0416331,movie,Go for Zucker,Alles auf Zucker!,0,2004,\N,Comedy Drama,6.7,2711,Go for Zucker (2004),https://www.imdb.com/title/tt0416331/
tt0380389,movie,Goal! The Dream Begins,Goal!,0,2005,\N,Adventure Drama Romance,6.7,60860,Goal! The Dream Begins (2005),https://www.imdb.com/title/tt0380389/
tt8690728,tvSeries,Goblin Slayer,Goblin Slayer,0,2018,\N,Action Adventure Animation,7.5,5265,Goblin Slayer (2018– ),https://www.imdb.com/title/tt8690728/
tt1912398,movie,God Bless America,God Bless America,0,2011,\N,Comedy Crime Drama,7.2,68198,God Bless America (2011),https://www.imdb.com/title/tt1912398/
tt7948998,tvSeries,God Friended Me,God Friended Me,0,2018,2020,Comedy Drama Fantasy,6.9,6558,God Friended Me (2018–2020),https://www.imdb.com/title/tt7948998/
tt0301555,movie,God Grew Tired of Us,God Grew Tired of Us: The Story of Lost Boys of Sudan,0,2006,\N,Documentary,7.9,2753,God Grew Tired of Us (2006),https://www.imdb.com/title/tt0301555/
tt2141751,movie,God Help the Girl,God Help the Girl,0,2014,\N,Drama Music Romance,6.4,8581,God Help the Girl (2014),https://www.imdb.com/title/tt2141751/
tt4643844,movie,God Willing,Se Dio vuole,0,2015,\N,Comedy,6.6,3768,God Willing (2015),https://www.imdb.com/title/tt4643844/
tt0097244,movie,God of Gamblers,Do san,0,1989,\N,Action Comedy Drama,7.3,4837,God of Gamblers (1989),https://www.imdb.com/title/tt0097244/
tt0101763,movie,God of Gamblers II,Dou hap,0,1990,\N,Action Comedy Drama,6.9,2713,God of Gamblers II (1990),https://www.imdb.com/title/tt0101763/
tt1173494,tvMovie,God on Trial,God on Trial,0,2008,\N,Drama War,7.7,3391,God on Trial (2008– ),https://www.imdb.com/title/tt1173494/
tt5635086,movie,God's Own Country,God's Own Country,0,2017,\N,Drama Romance,7.7,26388,God's Own Country (2017),https://www.imdb.com/title/tt5635086/
tt5687334,movie,Godard Mon Amour,Le Redoutable,0,2017,\N,Biography Comedy Drama,6.6,4751,Godard Mon Amour (2017),https://www.imdb.com/title/tt5687334/
